sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen12,Buffer_4596,-125,24,4,23
SID_gen12,Buffer_4597,1049,24,5,23
SID_gen12,Buffer_4598,3086,24,6,23
SID_gen12,Buffer_4601,-193,24,1,24
SID_gen12,Buffer_4602,-225,24,2,24
SID_gen12,Buffer_4603,-41,24,3,24
SID_gen12,Buffer_4604,-79,24,4,24
SID_gen12,Buffer_4605,14329,24,5,24
SID_gen12,Buffer_4606,29556,24,6,24
SID_gen13,Buffer_4782,1689,25,6,22
SID_gen13,Buffer_4783,1250,25,7,22
SID_gen13,Buffer_4784,-4,25,8,22
SID_gen13,Buffer_4790,77,25,6,23
SID_gen13,Buffer_4791,1325,25,7,23
SID_gen13,Buffer_4792,11,25,8,23
SID_gen13,Buffer_4798,397,25,6,24
SID_gen13,Buffer_4799,1200,25,7,24
SID_gen13,Buffer_4800,471,25,8,24
SID_gen13,Buffer_4969,-77,26,1,22
SID_gen13,Buffer_4970,33,26,2,22
SID_gen13,Buffer_4971,97,26,3,22
SID_gen13,Buffer_4972,472,26,4,22
SID_gen13,Buffer_4973,1302,26,5,22
SID_gen13,Buffer_4974,3058,26,6,22
SID_gen13,Buffer_4977,13,26,1,23
SID_gen13,Buffer_4978,-26,26,2,23
SID_gen13,Buffer_4979,60,26,3,23
SID_gen13,Buffer_4980,343,26,4,23
SID_gen13,Buffer_4981,2063,26,5,23
SID_gen13,Buffer_4982,17630,26,6,23
SID_gen13,Buffer_4985,418,26,1,24
SID_gen13,Buffer_4986,445,26,2,24
SID_gen13,Buffer_4987,436,26,3,24
SID_gen13,Buffer_4988,626,26,4,24
SID_gen13,Buffer_4989,2025,26,5,24
SID_gen13,Buffer_4990,8832,26,6,24
SID_gen14,Buffer_5166,-114,27,6,22
SID_gen14,Buffer_5167,370,27,7,22
SID_gen14,Buffer_5168,-144,27,8,22
SID_gen14,Buffer_5174,-92,27,6,23
SID_gen14,Buffer_5175,2333,27,7,23
SID_gen14,Buffer_5176,-136,27,8,23
SID_gen14,Buffer_5182,-72,27,6,24
SID_gen14,Buffer_5183,2401,27,7,24
SID_gen14,Buffer_5184,-69,27,8,24
SID_gen14,Buffer_5353,-75,28,1,22
SID_gen14,Buffer_5354,-102,28,2,22
SID_gen14,Buffer_5355,16,28,3,22
SID_gen14,Buffer_5356,-35,28,4,22
SID_gen14,Buffer_5357,23146,28,5,22
SID_gen14,Buffer_5358,21517,28,6,22
SID_gen14,Buffer_5361,54,28,1,23
SID_gen14,Buffer_5362,-94,28,2,23
SID_gen14,Buffer_5363,-29,28,3,23
SID_gen14,Buffer_5364,6,28,4,23
SID_gen14,Buffer_5365,19446,28,5,23
SID_gen14,Buffer_5366,11295,28,6,23
SID_gen14,Buffer_5369,-83,28,1,24
SID_gen14,Buffer_5370,-53,28,2,24
SID_gen14,Buffer_5371,-37,28,3,24
SID_gen14,Buffer_5372,5,28,4,24
SID_gen14,Buffer_5373,270,28,5,24
SID_gen14,Buffer_5374,1652,28,6,24
SID_gen15,Buffer_5550,217,29,6,22
SID_gen15,Buffer_5551,2102,29,7,22
SID_gen15,Buffer_5552,-74,29,8,22
