Block,Column,Row,Name,ID,F635 Median,B635,B635 Median,SNR 635,F635 Median - B635,global_BGMedian,minimum_BGMedian,sample,sampleID,sample_array_ID
1,4,18,PF3D7_1105800,1D12,3726,667,667,30.304,3059,897,648,1,S_g1,1
1,5,18,PTRAMP,1F12,4871,657,657,42.785,4214,897,648,1,S_g1,1
1,6,18,EBA181,1B8,2770,663,663,1.557,2107,897,648,1,S_g1,1
1,7,18,CD4TAG,1H8,1713,660,660,0.583,1053,897,648,1,S_g1,1
1,8,18,SERA2,1D10,5017,654,654,19.066,4363,897,648,1,S_g1,1
1,1,19,MSP1Block2K1flank,1N7,65535,897,897,15.003,64638,897,648,1,S_g1,1
1,2,19,MSP1Block2Wellcomefull,1J9,54496,822,822,9.747,53674,897,648,1,S_g1,1
1,3,19,MSP1Block2MAD20full,1P9,34724,727,727,26.487,33997,897,648,1,S_g1,1
1,4,19,MSP3K1,1L11,1397,680,680,7.247,717,897,648,1,S_g1,1
1,5,19,MSPDBLC-terminal,1N11,11354,663,663,95.369,10691,897,648,1,S_g1,1
1,6,19,Surfin4.2K1,1J7,14694,674,674,9.252,14020,897,648,1,S_g1,1
1,7,19,MSPDBLN-terminal,1P7,3296,653,653,1.855,2643,897,648,1,S_g1,1
1,8,19,Surfin4.2Conserved,1L9,13577,648,648,75.441,12929,897,648,1,S_g1,1
1,1,20,MSP1Block2K1flank,1N7,65535,1186,1186,67.08,64349,897,648,1,S_g1,1
1,2,20,MSP1Block2Wellcomefull,1J9,51026,1018,1018,13.891,50008,897,648,1,S_g1,1
1,3,20,MSP1Block2MAD20full,1P9,34930,806,806,11.442,34124,897,648,1,S_g1,1
1,4,20,MSP3K1,1L11,1390,692,692,5.509,698,897,648,1,S_g1,1
1,5,20,MSPDBLC-terminal,1N11,11618,684,684,116.58,10934,897,648,1,S_g1,1
1,6,20,Surfin4.2K1,1J7,16326,716,716,71.25,15610,897,648,1,S_g1,1
1,7,20,MSPDBLN-terminal,1P7,3221,668,668,13.707,2553,897,648,1,S_g1,1
1,8,20,Surfin4.2Conserved,1L9,11696,663,663,19.132,11033,897,648,1,S_g1,1
1,1,21,MSP1Block2K1flank,1N7,65535,1710,1710,4.38,63825,897,648,1,S_g1,1
1,2,21,MSP1Block2Wellcomefull,1J9,51901,1210,1210,3.988,50691,897,648,1,S_g1,1
1,3,21,MSP1Block2MAD20full,1P9,26769,878,878,22.768,25891,897,648,1,S_g1,1
1,4,21,MSP3K1,1L11,1450,717,717,0.343,733,897,648,1,S_g1,1
1,5,21,MSPDBLC-terminal,1N11,11096,716,716,24.902,10380,897,648,1,S_g1,1
1,6,21,Surfin4.2K1,1J7,16153,758,758,63.806,15395,897,648,1,S_g1,1
1,7,21,MSPDBLN-terminal,1P7,1836,686,686,4.1,1150,897,648,1,S_g1,1
1,8,21,Surfin4.2Conserved,1L9,13304,676,676,20.781,12628,897,648,1,S_g1,1
1,1,22,Landmark,1N8,65535,4745,4745,2.675,60790,897,648,1,S_g1,1
1,2,22,PfD1160W18,1J10,26783,2162,2162,0.889,24621,897,648,1,S_g1,1
1,3,22,PfD1160W19,1P10,12470,964,964,0.683,11506,897,648,1,S_g1,1
1,4,22,MSP2CH15019DBL2,1L12,22651,787,787,4.303,21864,897,648,1,S_g1,1
1,5,22,GST,1N12,3915,795,795,1.044,3120,897,648,1,S_g1,1
1,6,22,Buffer,1J8,901,772,772,0.268,129,897,648,1,S_g1,1
1,7,22,Buffer,1P8,7742,698,698,49.985,7044,897,648,1,S_g1,1
1,8,22,Buffer,1L10,733,686,686,0.028,47,897,648,1,S_g1,1
1,1,23,Landmark,1N8,65535,8515,8515,3,57020,897,648,1,S_g1,1
1,2,23,PfD1160W18,1J10,7202,2721,2721,0.537,4481,897,648,1,S_g1,1
1,3,23,PfD1160W19,1P10,13587,987,987,0.686,12600,897,648,1,S_g1,1
1,4,23,MSP2CH15019DBL2,1L12,2949,856,856,2.49,2093,897,648,1,S_g1,1
1,5,23,GST,1N12,3030,883,883,0.207,2147,897,648,1,S_g1,1
1,6,23,Buffer,1J8,893,740,740,0.053,153,897,648,1,S_g1,1
1,7,23,Buffer,1P8,10593,700,700,122.114,9893,897,648,1,S_g1,1
1,8,23,Buffer,1L10,716,674,674,0.183,42,897,648,1,S_g1,1
1,1,24,Landmark,1N8,65535,10061,10061,4.544,55474,897,648,1,S_g1,1
1,2,24,PfD1160W18,1J10,29608,1643,1643,1.774,27965,897,648,1,S_g1,1
1,3,24,PfD1160W19,1P10,4295,1107,1107,0.501,3188,897,648,1,S_g1,1
1,4,24,MSP2CH15019DBL2,1L12,27234,1020,1020,13.716,26214,897,648,1,S_g1,1
1,5,24,GST,1N12,3498,916,916,4.217,2582,897,648,1,S_g1,1
1,6,24,Buffer,1J8,783,739,739,-0.044,44,897,648,1,S_g1,1
1,7,24,Buffer,1P8,11099,727,727,17.595,10372,897,648,1,S_g1,1
1,8,24,Buffer,1L10,786,691,691,0.464,95,897,648,1,S_g1,1
2,1,1,SERA5,1.00E+01,7323,760,760,1.49,6563,897,639,1,S_g1,1
2,2,1,MSP11,1A3,10381,745,745,2.149,9636,897,639,1,S_g1,1
2,3,1,RIPR,1G3,804,738,738,-0.158,66,897,639,1,S_g1,1
