.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-05_first,533,1,H101,65535,12979,52556,2,1,8,2,KK2-05_first
KK2-05_first,533,1,PF3D7-1431400,65535,13039,52496,2,2,8,2,KK2-05_first
KK2-05_first,533,1,RHOPH3,65535,12580,52955,2,3,8,2,KK2-05_first
KK2-05_first,533,1,MSRP3,65535,12509,53026,2,4,8,2,KK2-05_first
KK2-05_first,533,1,PF13_0125,23982,14423,9559,2,5,8,2,KK2-05_first
KK2-05_first,533,1,RH5,65535,14960,50575,2,6,8,2,KK2-05_first
KK2-05_first,533,1,SERA4,65535,14004,51531,2,7,8,2,KK2-05_first
KK2-05_first,533,1,AARP,13290,12060,1230,2,8,8,2,KK2-05_first
KK2-05_first,533,1,H101,65535,12731,52804,2,1,9,3,KK2-05_first
KK2-05_first,533,1,PF3D7-1431400,65535,12188,53347,2,2,9,3,KK2-05_first
KK2-05_first,533,1,RHOPH3,65535,11744,53791,2,3,9,3,KK2-05_first
KK2-05_first,533,1,MSRP3,65535,11547,53988,2,4,9,3,KK2-05_first
KK2-05_first,533,1,PF13_0125,17389,11634,5755,2,5,9,3,KK2-05_first
KK2-05_first,533,1,RH5,65535,12803,52732,2,6,9,3,KK2-05_first
KK2-05_first,533,1,SERA4,65535,13184,52351,2,7,9,3,KK2-05_first
KK2-05_first,533,1,AARP,12920,11487,1433,2,8,9,3,KK2-05_first
KK2-05_first,533,1,RH1,65535,13129,52406,2,1,10,1,KK2-05_first
KK2-05_first,533,1,MSP3.5,65535,13196,52339,2,2,10,1,KK2-05_first
KK2-05_first,533,1,PFA0210c,65535,11806,53729,2,3,10,1,KK2-05_first
KK2-05_first,533,1,P38,65535,11553,53982,2,4,10,1,KK2-05_first
KK2-05_first,533,1,CLAG3.2,65535,11804,53731,2,5,10,1,KK2-05_first
KK2-05_first,533,1,RH2b,57393,12299,45094,2,6,10,1,KK2-05_first
KK2-05_first,533,1,PFA0445W,65535,12775,52760,2,7,10,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1343700(KELCH),13136,10734,2402,2,8,10,1,KK2-05_first
KK2-05_first,533,1,RH1,65535,13167,52368,2,1,11,2,KK2-05_first
KK2-05_first,533,1,MSP3.5,65535,13727,51808,2,2,11,2,KK2-05_first
KK2-05_first,533,1,PFA0210c,65535,11891,53644,2,3,11,2,KK2-05_first
KK2-05_first,533,1,P38,65535,11543,53992,2,4,11,2,KK2-05_first
KK2-05_first,533,1,CLAG3.2,65535,12079,53456,2,5,11,2,KK2-05_first
KK2-05_first,533,1,RH2b,54626,12392,42234,2,6,11,2,KK2-05_first
KK2-05_first,533,1,PFA0445W,65535,11980,53555,2,7,11,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1343700(KELCH),11627,10033,1594,2,8,11,2,KK2-05_first
KK2-05_first,533,1,RH1,65535,12691,52844,2,1,12,3,KK2-05_first
KK2-05_first,533,1,MSP3.5,65535,13712,51823,2,2,12,3,KK2-05_first
KK2-05_first,533,1,PFA0210c,65535,11878,53657,2,3,12,3,KK2-05_first
KK2-05_first,533,1,P38,65535,11430,54105,2,4,12,3,KK2-05_first
KK2-05_first,533,1,CLAG3.2,65535,12110,53425,2,5,12,3,KK2-05_first
KK2-05_first,533,1,RH2b,56876,12619,44257,2,6,12,3,KK2-05_first
KK2-05_first,533,1,PFA0445W,65535,12111,53424,2,7,12,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1343700(KELCH),12119,10203,1916,2,8,12,3,KK2-05_first
