ATF	1												
29	31												
Type=GenePix Export 3													
DateTime=2017/09/04 10:05:51													
Settings=													
GalFile=C:\Users\rkimathi\Desktop\GAL FILE LATEST-PRE-SCAN.gal													
PixelSize=10													
Wavelengths=635													
ImageFiles=Z:\Multicenter study\4_9_2017\prescan\BRB001.tif 0													
NormalizationMethod=None													
NormalizationFactors=1													
JpegImage=													
StdDev=Type 1													
FeatureType=Circular													
Barcode=													
BackgroundSubtraction=LocalFeature													
"ImageOrigin=0, 0"													
"JpegOrigin=1660, 1840"													
Creator=GenePix Pro 7.3.0.0													
Scanner=GenePix 4300 [141110]													
FocusPosition=0													
Temperature=0													
LinesAveraged=1													
Comment=													
PMTGain=400													
ScanPower=100													
LaserPower=0.69													
Filters=Standard Red													
0	0	0	1	3	19	MSP1 Block 2 MAD20 full	1P9	883	877	877	0.09	6	147
0	0	0	1	4	19	MSP3 K1	1L11	862	832	832	0.411	30	148
0	0	0	1	5	19	MSP DBL C-terminal	1N11	805	796	796	0.212	9	149
0	0	0	1	6	19	Surfin 4.2 K1	1J7	784	770	770	0.239	14	150
0	0	0	1	7	19	MSP DBL N-terminal	1P7	774	759	759	0.333	15	151
0	0	0	1	8	19	Surfin 4.2 Conserved	1L9	759	754	754	0.071	5	152
0	0	0	1	1	20	MSP1 Block 2 K1 flank	1N7	1132	1052	1052	0.442	80	153
0	0	0	1	2	20	MSP1 Block 2 Wellcome full	1J9	1051	1040	1040	-0.075	11	154
0	0	0	1	3	20	MSP1 Block 2 MAD20 full	1P9	967	970	970	-0.135	-3	155
0	0	0	1	4	20	MSP3 K1	1L11	925	901	901	0.306	24	156
0	0	0	1	5	20	MSP DBL C-terminal	1N11	858	845	845	0.131	13	157
0	0	0	1	6	20	Surfin 4.2 K1	1J7	816	806	806	0.077	10	158
0	0	0	1	7	20	MSP DBL N-terminal	1P7	784	781	781	0.022	3	159
0	0	0	1	8	20	Surfin 4.2 Conserved	1L9	766	775	775	-0.2	-9	160
0	0	0	1	1	21	MSP1 Block 2 K1 flank	1N7	1595	1404	1404	-0.084	191	161
0	0	0	1	2	21	MSP1 Block 2 Wellcome full	1J9	1289	1279	1279	-0.26	10	162
0	0	0	1	3	21	MSP1 Block 2 MAD20 full	1P9	1108	1097	1097	-0.088	11	163
0	0	0	1	4	21	MSP3 K1	1L11	1024	987	987	0.348	37	164
0	0	0	1	5	21	MSP DBL C-terminal	1N11	925	901	901	0.246	24	165
0	0	0	1	6	21	Surfin 4.2 K1	1J7	865	850	850	0.2	15	166
0	0	0	1	7	21	MSP DBL N-terminal	1P7	821	812	812	0.149	9	167
0	0	0	1	8	21	Surfin 4.2 Conserved	1L9	801	798	798	0.098	3	168
0	0	0	1	1	22	Landmark	1N8	65535	2766	2766	3.286	62769	169
0	0	0	1	2	22	PfD1160W 18	1J10	1906	1744	1744	-0.254	162	170
0	0	0	1	3	22	PfD1160W 19	1P10	1342	1266	1266	0.114	76	171
0	0	0	1	4	22	MSP2CH15019 DBL2	1L12	1114	1071	1071	0.287	43	172
0	0	0	1	5	22	GST	1N12	988	950	950	0.481	38	173
0	0	0	1	6	22	Buffer	1J8	922	880	880	0.567	42	174
0	0	0	1	7	22	Buffer	1P8	867	839	839	0.2	28	175
0	0	0	1	8	22	Buffer	1L10	1231	828	828	1.446	403	176
0	0	0	1	1	23	Landmark	1N8	65535	5521	5521	1.805	60014	177
0	0	0	1	2	23	PfD1160W 18	1J10	2293	2415	2415	-0.37	-122	178
0	0	0	1	3	23	PfD1160W 19	1P10	1575	1487	1487	0.165	88	179
0	0	0	1	4	23	MSP2CH15019 DBL2	1L12	1174	1151	1151	0.149	23	180
0	0	0	1	5	23	GST	1N12	1024	991	991	0.313	33	181
0	0	0	1	6	23	Buffer	1J8	936	913	913	0.355	23	182
0	0	0	1	7	23	Buffer	1P8	884	858	858	0.373	26	183
0	0	0	1	8	23	Buffer	1L10	898	853	853	0.036	45	184
0	0	0	1	1	24	Landmark	1N8	65535	5972	5972	1.969	59563	185
0	0	0	1	2	24	PfD1160W 18	1J10	2518	2451	2451	-0.36	67	186
0	0	0	1	3	24	PfD1160W 19	1P10	1662	1548	1548	0.159	114	187
0	0	0	1	4	24	MSP2CH15019 DBL2	1L12	1211	1179	1179	0.087	32	188
0	0	0	1	5	24	GST	1N12	1029	1015	1015	0.131	14	189
0	0	0	1	6	24	Buffer	1J8	931	924	924	0.085	7	190
0	0	0	1	7	24	Buffer	1P8	870	873	873	-0.085	-3	191
0	0	0	1	8	24	Buffer	1L10	931	862	862	1.039	69	192
0	0	0	2	1	1	SERA5	1.00E+01	955	789	789	1.147	166	193
0	0	0	2	2	1	MSP11	1A3	853	800	800	0.807	53	194
0	0	0	2	3	1	RIPR	1G3	887	839	839	0.303	48	195
0	0	0	2	4	1	SPATR	1C5	1049	899	899	1.243	150	196
0	0	0	2	5	1	MSP3	1.00E+05	1220	986	986	2.016	234	197
0	0	0	2	6	1	PF3D7_1136200	1A1	1312	1197	1197	0.258	115	198
0	0	0	2	7	1	PFSEA	1G1	2272	1629	1629	-0.163	643	199
0	0	0	2	8	1	Landmark	1C3	65535	2721	2721	2.55	62814	200
0	0	0	2	1	2	SERA5	1.00E+01	959	815	815	1.102	144	201
0	0	0	2	2	2	MSP11	1A3	826	811	811	0.328	15	202
0	0	0	2	3	2	RIPR	1G3	866	848	848	0.176	18	203
0	0	0	2	4	2	SPATR	1C5	1038	913	913	0.966	125	204
0	0	0	2	5	2	MSP3	1.00E+05	1222	1013	1013	1.737	209	205
0	0	0	2	6	2	PF3D7_1136200	1A1	1324	1257	1257	0.189	67	206
0	0	0	2	7	2	PFSEA	1G1	2752	2250	2250	-0.234	502	207
0	0	0	2	8	2	Landmark	1C3	65535	4182	4182	1.597	61353	208
0	0	0	2	1	3	SERA5	1.00E+01	972	802	802	1.561	170	209
0	0	0	2	2	3	MSP11	1A3	806	791	791	0.175	15	210
0	0	0	2	3	3	RIPR	1G3	823	819	819	-0.012	4	211
0	0	0	2	4	3	SPATR	1C5	902	878	878	0.08	24	212
0	0	0	2	5	3	MSP3	1.00E+05	1015	959	959	0.594	56	213
0	0	0	2	6	3	PF3D7_1136200	1A1	1228	1148	1148	0.164	80	214
0	0	0	2	7	3	PFSEA	1G1	1868	1870	1870	-0.295	-2	215
0	0	0	2	8	3	Landmark	1C3	65535	3619	3619	1.579	61916	216
0	0	0	2	1	4	AMA1	1.00E+02	970	776	776	2.083	194	217
0	0	0	2	2	4	SERA9	1A4	795	772	772	0.228	23	218
0	0	0	2	3	4	MSP7	1G4	811	792	792	0.444	19	219
0	0	0	2	4	4	PF10_0166	1C6	857	835	835	0.184	22	220
0	0	0	2	5	4	MSP10	1.00E+06	926	892	892	0.247	34	221
0	0	0	2	6	4	MSP5	1A2	1049	1015	1015	0.128	34	222
0	0	0	2	7	4	MTRAP	1G2	1293	1214	1214	-0.189	79	223
0	0	0	2	8	4	PF113	1C4	1882	1518	1518	-0.376	364	224
0	0	0	2	1	5	AMA1	1.00E+02	1004	756	756	2.017	248	225
0	0	0	2	2	5	SERA9	1A4	781	757	757	0.12	24	226
0	0	0	2	3	5	MSP7	1G4	795	767	767	0.621	28	227
0	0	0	2	4	5	PF10_0166	1C6	835	785	785	0.774	50	228
0	0	0	2	5	5	MSP10	1.00E+06	865	833	833	0.425	32	229
0	0	0	2	6	5	MSP5	1A2	932	901	901	0.253	31	230
0	0	0	2	7	5	MTRAP	1G2	1009	985	985	0.015	24	231
0	0	0	2	8	5	PF113	1C4	1108	1057	1057	0.041	51	232
0	0	0	2	1	6	AMA1	1.00E+02	984	740	740	1.396	244	233
0	0	0	2	2	6	SERA9	1A4	757	747	747	-0.049	10	234
0	0	0	2	3	6	MSP7	1G4	776	751	751	0.464	25	235
0	0	0	2	4	6	PF10_0166	1C6	772	761	761	0.327	11	236
0	0	0	2	5	6	MSP10	1.00E+06	797	789	789	0.133	8	237
0	0	0	2	6	6	MSP5	1A2	830	825	825	0.094	5	238
0	0	0	2	7	6	MTRAP	1G2	864	856	856	0.013	8	239
0	0	0	2	8	6	PF113	1C4	910	885	885	0.123	25	240
0	0	0	2	1	7	H101	1M1	716	718	718	-0.226	-2	241
0	0	0	2	2	7	PF3D7-1431400	1I3	735	718	718	0.13	17	242
0	0	0	2	3	7	RHOPH3	1O3	736	718	718	0.352	18	243
0	0	0	2	4	7	MSRP3	1K5	749	737	737	0.283	12	244
0	0	0	2	5	7	PF13_0125	1M5	763	758	758	0.06	5	245
0	0	0	2	6	7	RH5	1I1	781	775	775	0.104	6	246
0	0	0	2	7	7	SERA4	1O1	789	788	788	-0.061	1	247
0	0	0	2	8	7	AARP	1K3	794	801	801	-0.259	-7	248
0	0	0	2	1	8	H101	1M1	716	701	701	0.372	15	249
0	0	0	2	2	8	PF3D7-1431400	1I3	717	697	697	0.5	20	250
0	0	0	2	3	8	RHOPH3	1O3	712	697	697	0.455	15	251
0	0	0	2	4	8	MSRP3	1K5	733	714	714	0.391	19	252
0	0	0	2	5	8	PF13_0125	1M5	746	736	736	0.152	10	253
0	0	0	2	6	8	RH5	1I1	747	744	744	0.065	3	254
0	0	0	2	7	8	SERA4	1O1	749	748	748	-0.047	1	255
0	0	0	2	8	8	AARP	1K3	748	753	753	-0.1	-5	256
0	0	0	2	1	9	H101	1M1	714	693	693	0.489	21	257
0	0	0	2	2	9	PF3D7-1431400	1I3	712	689	689	0.535	23	258
0	0	0	2	3	9	RHOPH3	1O3	698	687	687	0.262	11	259
